Size, Regular, Karatsuba, Java's BigInteger
397, 1.1714943E-5, 4.687739100000001E-5, 6.18475E-7
398, 1.1747642E-5, 4.937891E-5, 7.30227E-7
399, 1.2002612E-5, 4.818328500000001E-5, 6.67685E-7
400, 1.1219751000000002E-5, 4.9184374000000005E-5, 7.155470000000001E-7
401, 1.2039105E-5, 4.6382867E-5, 6.369790000000001E-7
402, 1.1345466E-5, 4.8205739000000005E-5, 6.84804E-7
403, 1.2085118000000001E-5, 4.6473281E-5, 5.947530000000001E-7
404, 1.1181794E-5, 4.871401200000001E-5, 7.264940000000001E-7
405, 1.207934E-5, 4.6242546E-5, 6.695460000000001E-7
406, 1.1176562E-5, 4.8469172000000004E-5, 8.146420000000001E-7
407, 1.1847739E-5, 4.5563648E-5, 7.846710000000001E-7
408, 1.1041738E-5, 4.789614100000001E-5, 7.78032E-7
409, 1.1872369000000002E-5, 4.6491591E-5, 6.91E-7
410, 1.1191938000000001E-5, 4.9825438E-5, 6.92577E-7
